,Orden,P_Max,TR
0,1,166.14,86.0
1,2,153.42,43.0
2,3,146.05,28.67
3,4,139.7,21.5
4,5,133.86,17.2
5,6,129.54,14.33
6,7,125.22,12.29
7,8,119.38,10.75
8,9,117.86,9.56
9,10,112.01,8.6
10,11,101.6,7.82
11,12,97.03,7.17
12,13,97.02,6.62
13,14,96.52,6.14
14,15,95.0,5.73
15,16,93.22,5.38
16,17,91.69,5.06
17,18,91.44,4.78
18,19,91.44,4.53
19,20,89.4,4.3
20,21,88.9,4.1
21,22,88.9,3.91
22,23,87.63,3.74
23,24,87.63,3.58
24,25,86.36,3.44
25,26,84.84,3.31
26,27,82.54,3.19
27,28,82.3,3.07
28,29,81.28,2.97
29,30,79.25,2.87
30,31,79.25,2.77
31,32,76.2,2.69
32,33,76.2,2.61
33,34,76.2,2.53
34,35,76.2,2.46
35,36,74.93,2.39
36,37,73.32,2.32
37,38,71.53,2.26
38,39,69.34,2.21
39,40,67.74,2.15
40,41,64.01,2.1
41,42,63.5,2.05
42,43,63.5,2.0
43,44,63.25,1.95
44,45,63.09,1.91
45,46,59.69,1.87
46,47,58.42,1.83
47,48,55.88,1.79
48,49,55.88,1.76
49,50,53.68,1.72
50,51,50.8,1.69
51,52,50.8,1.65
52,53,50.8,1.62
53,54,50.8,1.59
54,55,50.8,1.56
55,56,50.8,1.54
56,57,50.06,1.51
57,58,49.61,1.48
58,59,49.28,1.46
59,60,49.28,1.43
60,61,48.31,1.41
61,62,48.26,1.39
62,63,45.72,1.37
63,64,45.42,1.34
64,65,45.26,1.32
65,66,43.43,1.3
66,67,43.18,1.28
67,68,40.64,1.26
68,69,40.64,1.25
69,70,40.13,1.23
70,71,38.92,1.21
71,72,38.61,1.19
72,73,38.12,1.18
73,74,38.1,1.16
74,75,37.34,1.15
75,76,37.27,1.13
76,77,36.58,1.12
77,78,34.19,1.1
78,79,33.24,1.09
79,80,28.78,1.08
80,81,25.53,1.06
81,82,25.32,1.05
82,83,24.43,1.04
83,84,23.55,1.02
84,85,10.06,1.01
